,qid,title,category,sub_category,cve_id,cvss,publish_date
21,375903,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management User Interface (TMUI) Cross-Site Scripting (XSS) Vulnerability (K61643620)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23038,9,9/30/2021
22,375904,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management Microkernel (TMM) Vulnerability (K66782293)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23039,7.5,9/30/2021
23,375906,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management User Interface (TMUI) Vulnerability (K63163637)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23043,6.5,9/30/2021
24,375908,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management Microkernel (TMM) SCTP Vulnerability (K94941221)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23045,7.5,9/30/2021
25,375909,Apple MacOS Finder Remote Code Execution (RCE) Vulnerability - Zero Day,Local,"Unix Authenticated Discovery, Exploit Available",,7.8,9/30/2021
26,375913,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management Microkernel (TMM) GPRS Tunneling Protocol (GTP) Vulnerability (K19012930)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23048,7.5,9/30/2021
27,198516,Ubuntu Security Notification for Apache Hypertext Transfer Protocol (HTTP) Server Vulnerabilities (USN-5090-1),Ubuntu,"Unix Authenticated Discovery, Patch Available","CVE-2021-36160,CVE-2021-40438,CVE-2021-34798,CVE-2021-33193,CVE-2021-39275",9.8,9/30/2021
28,198517,Ubuntu Security Notification for EDK II Vulnerabilities (USN-5088-1),Ubuntu,"Unix Authenticated Discovery, Patch Available","CVE-2021-3712,CVE-2021-23840,CVE-2019-11098,CVE-2021-38575",7.5,9/30/2021
29,317067,Cisco Identity Services Engine Stored Cross-Site Scripting (XSS) Vulnerabilities ( cisco-sa-ise-stored-xss-TWwjVPdL),Cisco,"Unix Authenticated Discovery, Patch Available","CVE-2021-1603,CVE-2021-1604,CVE-2021-1605",4.8,9/30/2021
30,375893,Kibana Multiple HTML Injection Vulnerability (ESA-2021-23),Local,"Remote Discovery, Unix Authenticated Discovery, Patch Available",CVE-2021-37936,8.1,9/30/2021
31,375895,F5 BIG-IP Application Security Manager (ASM) TMUI Vulnerability (K52420610),Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23029,8.8,9/30/2021
32,198514,Ubuntu Security Notification for Linux kernel Vulnerabilities (USN-5091-1),Ubuntu,"Unix Authenticated Discovery, Patch Available","CVE-2021-38199,CVE-2021-3679,CVE-2021-38160,CVE-2021-33624,CVE-2021-38204,CVE-2021-37576",7.8,9/30/2021
33,198515,Ubuntu Security Notification for Linux kernel Vulnerabilities (USN-5092-1),Ubuntu,"Unix Authenticated Discovery, Patch Available","CVE-2021-38201,CVE-2021-38199,CVE-2021-41073,CVE-2021-34556,CVE-2021-3679,CVE-2021-38160,CVE-2021-33624,CVE-2021-38204,CVE-2021-37576,CVE-2021-35477,CVE-2021-37159,CVE-2021-38205",7.8,9/30/2021
34,375480,Oracle HTTP Server Multiple Vulnerabilities(CPUAPR2021),Local,"Authenticated Discovery, Patch Available","CVE-2020-5360,CVE-2021-2315",7.5,6/30/2021
35,590531,Texas Instruments SimpleLink Multiple Vulnerabilities (ICSA-21-119-01),ICS,"Windows Authenticated Discovery, Patch Available","CVE-2021-22679,CVE-2021-22673,CVE-2021-22677,CVE-2021-22671,CVE-2021-22675",9.8,9/16/2021
36,43865,Hewlett Packard Enterprise (HPE) ArubaOS Local Path Traversal Vulnerability (ARUBA-PSA-2021-016),Hardware,"SNMP Authenticated Discovery, Patch Available",CVE-2021-37731,6.2,9/27/2021
37,198509,Ubuntu Security Notification for SQL parse Vulnerability (USN-5085-1),Ubuntu,"Unix Authenticated Discovery, Patch Available",CVE-2021-32839,7.5,9/28/2021
38,375844,Nagios XI XSS Security Vulnerabilities,Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-38156,5.4,9/16/2021
39,110391,Microsoft SharePoint Enterprise Server Multiple Vulnerabilities September 2021,Office Application,"Windows Authenticated Discovery, Patch Available","CVE-2021-38651,CVE-2021-38652",3.5,9/15/2021
40,317033,Cisco Internetwork Operating System (IOS) XR Software IP Service Level Agreements and Two-Way Active Measurement Protocol Denial of Service (DoS) Vulnerability (cisco-sa-ipsla-ZA3SRrpP),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-34720,8.6,9/9/2021
41,317042,Cisco Internetwork Operating System (IOS) XR Software Dynamic Host Configuration Protocol (DHCP) Version 4 Server Denial of Service (DoS) Vulnerability (cisco-sa-iosxr-dhcp-dos-pjPVReLU),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-34737,7.5,9/20/2021
42,730186,Atlassian Jira Server and Data Center Information Disclosure Vulnerability (JRASERVER-72293),CGI,"Remote Discovery, Patch Available",CVE-2021-39122,5.3,9/16/2021
43,352839,Amazon Linux Security Advisory for kernel: ALAS2-2021-1704,Amazon Linux,"Unix Authenticated Discovery, Patch Available","CVE-2021-3732,CVE-2021-3653,CVE-2021-38198,CVE-2021-40490,CVE-2021-3753,CVE-2021-3656",7,9/20/2021
44,317032,Cisco Internetwork Operating System (IOS) XR Software for ASR 9000 Series Routers Denial of Service (DoS) Vulnerability (cisco-sa-npspin-QYpwdhFD),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-34713,7.4,9/9/2021
45,730182,"Atlassian Jira Server and Data Center Multiple Security Vulnerabilities (JRASERVER-72736, JRASERVER-72737, JRASERVER-72738)",CGI,"Remote Discovery, Patch Available","CVE-2021-39119,CVE-2021-39116,CVE-2021-39118",5.5,9/6/2021
46,730192,Palo Alto Networks PAN-OS Exceptional Condition Denial-of-Service Vulnerability (PAN-158723),CGI,"PANOS Authenticated Discovery, Patch Available",CVE-2021-3053,7.5,9/16/2021
47,730198,Atlassian Jira Server and Data Center Broken Access Control Vulnerability (JRASERVER-72618),CGI,"Remote Discovery, Patch Available",CVE-2019-20101,5.3,9/20/2021
48,317036,Cisco Internetwork Operating System (IOS) XR Software Unauthorized Information Disclosure Vulnerability (cisco-sa-iosxr-infodisc-CjLdGMc5),Cisco,"SNMP Authenticated Discovery, Patch Available",CVE-2021-34771,5.5,9/9/2021
49,730181,Atlassian Jira Server and Data Center Broken Access Control Vulnerability (JRASERVER-72573),CGI,"Remote Discovery, Patch Available",CVE-2021-39113,7.5,9/6/2021
50,730193,Palo Alto Networks PAN-OS Reflected Cross-Site Scripting (XSS) in Web Interface (PAN-150337),CGI,"PANOS Authenticated Discovery, Patch Available",CVE-2021-3052,5.4,9/20/2021
51,730197,Atlassian Jira Server and Data Center Information Disclosure Vulnerability (JRASERVER-72009),CGI,"Remote Discovery, Patch Available",CVE-2021-39125,5.3,9/20/2021
52,375779,Apple iCloud for Windows Prior to 12.5 Multiple Vulnerabilities(HT212607),Local,"Windows Authenticated Discovery, Patch Available","CVE-2021-30779,CVE-2021-30785",7.8,8/19/2021
53,178771,Debian Security Update for tor (DSA 4961-1),Debian,"Unix Authenticated Discovery, Patch Available",CVE-2021-38385,7.5,8/31/2021
54,281839,Fedora Security Update for tor (FEDORA-2021-847ca2749a),Fedora,"Unix Authenticated Discovery, Patch Available",CVE-2021-38385,7.5,8/31/2021
55,730177,Cisco Prime Infrastructure Information Disclosure Vulnerability (cisco-sa-prime-info-disc-nTU9FJ2),CGI,"Remote Discovery, Patch Available",CVE-2021-34733,5.5,9/2/2021
56,751024,OpenSUSE Security Update for tor (openSUSE-SU-2021:1169-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-38385,7.5,8/25/2021
57,375801,Apple iTunes for Windows Prior to 12.11.4 Multiple Vulnerabilities (HT212609),Local,"Windows Authenticated Discovery, Patch Available","CVE-2021-30779,CVE-2021-30785",7.8,8/17/2021
58,317022,Cisco Nexus 9000 Series Fabric Switches ACI Mode Privilege Escalation Vulnerability (cisco-sa-naci-mdvul-vrKVgNU),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-1584,6.7,8/26/2021
59,281847,Fedora Security Update for tor (FEDORA-2021-52d6a75d28),Fedora,"Unix Authenticated Discovery, Patch Available",CVE-2021-38385,7.5,8/31/2021
60,375586,Apple macOS Security Update 2021-003 Catalina (HT212530),Local,"Unix Authenticated Discovery, Patch Available","CVE-2020-36221,CVE-2020-36222,CVE-2020-36223,CVE-2020-36224,CVE-2020-36225,CVE-2020-36226,CVE-2020-36227,CVE-2020-36228,CVE-2020-36229,CVE-2020-36230,CVE-2021-1883,CVE-2021-1884,CVE-2021-30669,CVE-2021-30671,CVE-2021-30673,CVE-2021-30676,CVE-2021-30678,CVE-2021-30679,CVE-2021-30681,CVE-2021-30683,CVE-2021-30684,CVE-2021-30685,CVE-2021-30687,CVE-2021-30691,CVE-2021-30692,CVE-2021-30693,CVE-2021-30694,CVE-2021-30695,CVE-2021-30697,CVE-2021-30701,CVE-2021-30702,CVE-2021-30704,CVE-2021-30705,CVE-2021-30708,CVE-2021-30709,CVE-2021-30710,CVE-2021-30712,CVE-2021-30715,CVE-2021-30716,CVE-2021-30717,CVE-2021-30721,CVE-2021-30722,CVE-2021-30723,CVE-2021-30724,CVE-2021-30725,CVE-2021-30728,CVE-2021-30743,CVE-2021-30746,CVE-2021-30686,CVE-2021-30688,CVE-2021-30696,CVE-2021-30719,CVE-2021-30726,CVE-2021-30735,CVE-2021-30737,CVE-2021-30739",9.8,5/26/2021
61,375585,Apple macOS Security Update 2021-004 Mojave (HT212531),Local,"Unix Authenticated Discovery, Patch Available","CVE-2021-30676,CVE-2021-30678,CVE-2021-30690,CVE-2021-30669,CVE-2021-30681,CVE-2021-30724,CVE-2021-30710,CVE-2021-1884,CVE-2021-1883,CVE-2021-30697,CVE-2021-30683,CVE-2021-30687,CVE-2021-30705,CVE-2021-30728,CVE-2021-30704,CVE-2021-30702,CVE-2021-30723,CVE-2021-30691,CVE-2021-30694,CVE-2021-30692,CVE-2021-30746,CVE-2021-30693,CVE-2021-30695,CVE-2021-30708,CVE-2021-30709,CVE-2021-30725,CVE-2021-30679,CVE-2020-36226,CVE-2020-36229,CVE-2020-36225,CVE-2020-36224,CVE-2020-36223,CVE-2020-36227,CVE-2020-36228,CVE-2020-36221,CVE-2020-36222,CVE-2020-36230,CVE-2021-30716,CVE-2021-30717,CVE-2021-30712,CVE-2021-30721,CVE-2021-30722,CVE-2021-30696,CVE-2021-30726,CVE-2021-30735,CVE-2021-30737,CVE-2021-30738,CVE-2021-30739",9.8,5/26/2021
62,375506,Apple iCloud for Windows Prior to 12.3 Multiple Vulnerabilities(HT212321),Local,"Windows Authenticated Discovery, Patch Available","CVE-2021-1857,CVE-2021-1811,CVE-2021-1825,CVE-2020-7463",6.5,4/28/2021
63,610334,Apple iOS 14.5 and iPadOS 14.5 Security Update Missing (HT212317),Mobile Device,"Unix Authenticated Discovery, Patch Available","CVE-2021-1835,CVE-2021-1837,CVE-2021-1867,CVE-2021-1849,CVE-2021-1836,CVE-2021-1808,CVE-2021-1857,CVE-2021-1846,CVE-2021-1809,CVE-2021-30659,CVE-2021-1811,CVE-2021-1872,CVE-2021-1881,CVE-2021-1882,CVE-2021-1813,CVE-2021-30656,CVE-2021-1883,CVE-2021-1884,CVE-2021-1885,CVE-2021-30653,CVE-2021-1843,CVE-2021-1858,CVE-2021-1864,CVE-2021-1877,CVE-2021-1852,CVE-2021-1830,CVE-2021-1874,CVE-2021-1851,CVE-2021-1860,CVE-2021-1816,CVE-2021-1832,CVE-2021-30660,CVE-2021-30652,CVE-2021-1875,CVE-2021-1822,CVE-2021-1865,CVE-2021-1815,CVE-2021-1739,CVE-2021-1740,CVE-2021-1807,CVE-2021-1831,CVE-2021-1868,CVE-2021-1854,CVE-2021-1848,CVE-2021-1825,CVE-2021-1817,CVE-2021-1826,CVE-2021-1820,CVE-2021-30661,CVE-2020-7463,CVE-2021-1862",9.8,5/5/2021
64,375508,Apple iTunes for Windows Prior to 12.11.3 Multiple Vulnerabilities (HT212319),Local,"Windows Authenticated Discovery, Patch Available","CVE-2021-1857,CVE-2021-1811,CVE-2021-1825,CVE-2020-7463",6.5,4/28/2021
65,375509,"Apple Safari Multiple Vulnerabilities (HT212318, HT212340)",Local,"Unix Authenticated Discovery, Patch Available","CVE-2021-1825,CVE-2020-7463,CVE-2021-30665,CVE-2021-30663,CVE-2021-30661",8.8,4/29/2021
68,239212,Red Hat Update for OpenShift Container Platform 4.7.5 (RHSA-2021:1006),RedHat,"Unix Authenticated Discovery, Patch Available",CVE-2021-3121,8.6,4/8/2021
69,239652,Red Hat Update for Red Hat JBoss Enterprise Application Platform 7.4.1 (RHSA-2021:3658),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2020-13936,CVE-2021-3536,CVE-2021-3597,CVE-2021-3642,CVE-2021-3644,CVE-2021-3690,CVE-2021-21295,CVE-2021-21409,CVE-2021-28170,CVE-2021-29425",8.8,9/29/2021
70,239653,Red Hat Update for Red Hat JBoss Enterprise Application Platform 7.4.1 (RHSA-2021:3656),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2020-13936,CVE-2021-3536,CVE-2021-3597,CVE-2021-3642,CVE-2021-3644,CVE-2021-3690,CVE-2021-21295,CVE-2021-21409,CVE-2021-28170,CVE-2021-29425",8.8,9/29/2021
73,375866,Node.js Handlebar Module Remote Code Execution Vulnerability,Local,"Unix Authenticated Discovery, Patch Available",CVE-2019-19919,9.8,9/29/2021
74,375885,Ansible Engine Arbitrary Code Execution Vulnerability,Local,"Unix Authenticated Discovery, Patch Available",CVE-2020-14365,7.1,9/29/2021
75,375886,F5 BIG-IP Application Security Manager (ASM) MySQL Database Vulnerability (K36942191),Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23053,5.3,9/29/2021
76,375887,F5 BIG-IP Application Security Manager (ASM) WebSocket Vulnerability (K05314769),Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23033,7.5,9/29/2021
77,375888,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) TMUI Vulnerability (K42526507)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23041,6.1,9/29/2021
78,375889,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management User Interface (TMUI) Cross-Site Scripting (XSS) Vulnerability (K24301698)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23027,6.1,9/29/2021
79,375891,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) TMUI Cross-Site Scripting (XSS) Vulnerability (K21435974)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23037,9.6,9/29/2021
80,375892,JetBrains Intellij IDEA XXE In License Server Functionality Vulnerability,Local,"Windows Authenticated Discovery, Patch Available",CVE-2021-30006,7.5,9/29/2021
81,375894,F5 BIG-IP Application Security Manager (ASM) Denial of Service (DoS) Vulnerability (K00602225),Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23028,7.5,9/29/2021
82,375896,F5 BIG-IP Application Security Manager (ASM) WebSocket Vulnerability (K42051445),Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23030,7.5,9/29/2021
83,375897,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management Microkernel (TMM) Vulnerability (K30523121)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23034,7.5,9/29/2021
84,375898,Palo Alto Networks GlobalProtect App Virtual Private Network (VPN) Cookie Local Information Disclosure Vulnerability (GPC-9393),Local,"Windows Authenticated Discovery, Patch Available",CVE-2020-1987,3.3,9/29/2021
85,375899,Palo Alto Networks GlobalProtect App Clear Text Passwords Log Vulnerability (GPC-10404),Local,"Authenticated Discovery, Patch Available",CVE-2020-2004,5.5,9/29/2021
86,375900,Palo Alto Networks GlobalProtect App Windows Virtual Private Network (VPN) Kernel Driver Denial of Service (DoS) Vulnerability (GPC-10983),Local,"Windows Authenticated Discovery, Patch Available",CVE-2021-3038,5.5,9/29/2021
87,751176,SUSE Enterprise Linux Security Update for atftp (SUSE-SU-2021:3237-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-41054,7.5,9/29/2021
88,770077,Red Hat OpenShift Container Platform 4.3 Security Update (RHSA-2020:2443),Red Hat CoreOS,"Unix Authenticated Discovery, Patch Available",CVE-2020-10749,6,9/29/2021
89,770078,Red Hat OpenShift Container Platform 4.8 Security Update (RHSA-2021:3248),Red Hat CoreOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-31525,CVE-2021-33195,CVE-2021-33197,CVE-2021-33198,CVE-2021-34558",7.5,9/29/2021
90,257115,CentOS Security Update for kernel (CESA-2021:3438),CentOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-3715,4.2,9/29/2021
91,316992,Cisco Unified Contact Center Express Reflected Cross-Site Scripting Vulnerability(cisco-sa-cuic-xss-csHUdtrL),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-1395,6.1,9/29/2021
96,174804,"SUSE Enterprise Linux Security update for libsolv, libzypp, yast2-installation, zypper (SUSE-SU-2021:0770-1)",SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2017-9271,3.3,3/19/2021
105,239382,Red Hat Update for postgresql:13 (RHSA-2021:2375),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2021-32027,CVE-2021-32028,CVE-2021-32029",8.8,6/14/2021
106,239357,Red Hat Update for OpenShift Container Platform 4.6.30 packages and (RHSA-2021:1566),RedHat,"Unix Authenticated Discovery, Patch Available",CVE-2021-30465,8.5,6/7/2021
120,105998,EOL/Obsolete Operating System: Microsoft Windows 10 Version 1909 Detected,Security Policy,Windows Authenticated Discovery,,9.8,9/7/2021
122,375884,Microsoft Edge Based on Chromium Prior to 94.0.992.31 Multiple Vulnerabilities,Local,"Authenticated Discovery, Patch Available","CVE-2021-37973,CVE-2021-37972,CVE-2021-37971,CVE-2021-37970,CVE-2021-37969,CVE-2021-37968,CVE-2021-37967,CVE-2021-37966,CVE-2021-37965,CVE-2021-37964,CVE-2021-37963,CVE-2021-37962,CVE-2021-37961,CVE-2021-37960,CVE-2021-37959,CVE-2021-37958,CVE-2021-37957,CVE-2021-37956",9.8,9/27/2021
123,375573,RabbitMQ Server Multiple Vulnerabilities,Local,"Windows Authenticated Discovery, Patch Available","CVE-2021-22116,CVE-2021-22117",7.8,5/24/2021
124,150365,Atlassian Jira Server - Mobile site reveals the summary titles of privately linked tickets (CVE-2020-36235),Web Application,"Remote Discovery, Patch Available",CVE-2020-36235,5.3,9/29/2021
125,87455,SAP NetWeaver AS ABAP Denial of Service (DoS) Vulnerability,Web server,"Remote Discovery, Patch Available",CVE-2021-27603,6.5,9/28/2021
126,670642,EulerOS Security Update for libtiff (EulerOS-SA-2021-2400),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2020-35523,7.8,9/28/2021
127,670643,EulerOS Security Update for libtirpc (EulerOS-SA-2021-2401),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-14622,7.5,9/28/2021
128,670644,EulerOS Security Update for libvpx (EulerOS-SA-2021-2402),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-9349,7.3,9/28/2021
129,670645,EulerOS Security Update for libwebp (EulerOS-SA-2021-2403),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2020-36331,CVE-2018-25009,CVE-2018-25011,CVE-2018-25012,CVE-2018-25013,CVE-2018-25014,CVE-2020-36328,CVE-2020-36329,CVE-2020-36330",9.8,9/28/2021
130,670646,EulerOS Security Update for libwpd (EulerOS-SA-2021-2404),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-19208,6.5,9/28/2021
131,670647,EulerOS Security Update for libX11 (EulerOS-SA-2021-2405),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-31535,9.8,9/28/2021
132,670648,EulerOS Security Update for libxml2 (EulerOS-SA-2021-2406),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-3518,CVE-2021-3517,CVE-2021-3537,CVE-2021-3541,CVE-2021-3516",8.8,9/28/2021
133,670649,EulerOS Security Update for lz4 (EulerOS-SA-2021-2407),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-3520,9.8,9/28/2021
134,670650,EulerOS Security Update for mgetty (EulerOS-SA-2021-2408),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2019-1010190,5.5,9/28/2021
135,670651,EulerOS Security Update for mutt (EulerOS-SA-2021-2409),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-3181,6.5,9/28/2021
136,670652,EulerOS Security Update for nasm (EulerOS-SA-2021-2410),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-8883,7.8,9/28/2021
137,670653,EulerOS Security Update for nettle (EulerOS-SA-2021-2411),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-3580,7.5,9/28/2021
138,670654,EulerOS Security Update for nginx (EulerOS-SA-2021-2412),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-23017,CVE-2017-20005",9.8,9/28/2021
139,670655,EulerOS Security Update for nss (EulerOS-SA-2021-2413),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2018-18508,6.5,9/28/2021
140,670656,EulerOS Security Update for openjpeg (EulerOS-SA-2021-2414),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2020-27823,CVE-2020-27824,CVE-2018-16375",8.8,9/28/2021
141,670657,EulerOS Security Update for openldap (EulerOS-SA-2021-2415),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2020-36221,CVE-2020-36222,CVE-2020-36223,CVE-2020-36224,CVE-2020-36225,CVE-2020-36226,CVE-2020-36227,CVE-2020-36228,CVE-2020-36229,CVE-2020-36230,CVE-2021-27212,CVE-2020-25709,CVE-2020-25710",7.5,9/28/2021
142,670658,EulerOS Security Update for Open Secure Sockets Layer (OpenSSL) (EulerOS-SA-2021-2416),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-23840,CVE-2021-23841",7.5,9/28/2021
143,670659,EulerOS Security Update for Open Secure Sockets Layer098e (OpenSSL098e) openssl098e (EulerOS-SA-2021-2417),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-23840,CVE-2021-23841",7.5,9/28/2021
144,670660,EulerOS Security Update for Open Secure Sockets Layer110f (openssl110f) (EulerOS-SA-2021-2418),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-23840,CVE-2021-23841",7.5,9/28/2021
145,670661,EulerOS Security Update for perl-Convert-ASN1 (EulerOS-SA-2021-2419),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2013-7488,7.5,9/28/2021
146,670662,EulerOS Security Update for perl-DBI (EulerOS-SA-2021-2421),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2014-10401,CVE-2014-10402",6.1,9/28/2021
147,670663,EulerOS Security Update for perl-File-Path (EulerOS-SA-2021-2422),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2017-6512,5.9,9/28/2021
